season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_wins
2015-16,CLE,GSW,114.6,105.2,109.7,105.1,91.4,97.83,0
2015-16,GSW,CLE,109.7,105.1,114.6,105.2,97.83,91.4,0
2015-16,CLE,GSW,114.6,105.2,109.7,105.1,91.4,97.83,1
2015-16,GSW,CLE,109.7,105.1,114.6,105.2,97.83,91.4,0
2016-17,CLE,IND,119.9,111.8,114.5,119.0,96.89,94.88,1
2016-17,LAC,UTA,107.9,109.0,105.2,110.4,90.64,92.95,0
2016-17,SAS,MEM,112.8,111.6,109.9,119.2,93.72,86.25,1
2016-17,TOR,MIL,104.2,110.1,103.3,103.7,92.9,90.33,0
2016-17,BOS,CHI,110.4,113.5,103.6,110.5,94.76,93.33,0
2016-17,GSW,POR,118.2,105.3,100.0,116.9,100.68,101.88,1
2016-17,HOU,OKC,110.1,108.9,105.0,113.7,96.9,99.2,1
2016-17,WAS,ATL,110.2,110.5,107.3,107.7,97.18,98.67,1
2016-17,CLE,IND,119.9,111.8,114.5,119.0,96.89,94.88,1
2016-17,SAS,MEM,112.8,111.6,109.9,119.2,93.72,86.25,1
2016-17,BOS,CHI,110.4,113.5,103.6,110.5,94.76,93.33,0
2016-17,LAC,UTA,107.9,109.0,105.2,110.4,90.64,92.95,1
2016-17,TOR,MIL,104.2,110.1,103.3,103.7,92.9,90.33,1
2016-17,GSW,POR,118.2,105.3,100.0,116.9,100.68,101.88,1
2016-17,HOU,OKC,110.1,108.9,105.0,113.7,96.9,99.2,1
2016-17,WAS,ATL,110.2,110.5,107.3,107.7,97.18,98.67,1
2016-17,MIL,TOR,103.3,103.7,104.2,110.1,90.33,92.9,1
2016-17,IND,CLE,114.5,119.0,119.9,111.8,94.88,96.89,0
2016-17,MEM,SAS,109.9,119.2,112.8,111.6,86.25,93.72,1
2016-17,CHI,BOS,103.6,110.5,110.4,113.5,93.33,94.76,0
2016-17,OKC,HOU,105.0,113.7,110.1,108.9,99.2,96.9,1
2016-17,UTA,LAC,105.2,110.4,107.9,109.0,92.95,90.64,0
2016-17,ATL,WAS,107.3,107.7,110.2,110.5,98.67,97.18,1
2016-17,MIL,TOR,103.3,103.7,104.2,110.1,90.33,92.9,0
2016-17,POR,GSW,100.0,116.9,118.2,105.3,101.88,100.68,0
2016-17,MEM,SAS,109.9,119.2,112.8,111.6,86.25,93.72,1
2016-17,CHI,BOS,103.6,110.5,110.4,113.5,93.33,94.76,0
2016-17,IND,CLE,114.5,119.0,119.9,111.8,94.88,96.89,0
2016-17,OKC,HOU,105.0,113.7,110.1,108.9,99.2,96.9,0
2016-17,UTA,LAC,105.2,110.4,107.9,109.0,92.95,90.64,1
2016-17,ATL,WAS,107.3,107.7,110.2,110.5,98.67,97.18,1
2016-17,POR,GSW,100.0,116.9,118.2,105.3,101.88,100.68,0
2016-17,TOR,MIL,104.2,110.1,103.3,103.7,92.9,90.33,1
2016-17,HOU,OKC,110.1,108.9,105.0,113.7,96.9,99.2,1
2016-17,LAC,UTA,107.9,109.0,105.2,110.4,90.64,92.95,0
